type,placeType,category,keywords_ko,keywords_cn,keywords_en,keywords_ja,keywords_fr,keywords_de,keywords_es,keywords_pt,keywords_vi,keywords_th,keywords_id,keywords_ms
general,chickenrestaurant,food,치킨집|치킨|후라이드|양념치킨|간장치킨|순살치킨|치맥,炸鸡店|炸鸡|韩式炸鸡|鸡肉,chicken|fried chicken|korean chicken,チキン|フライドチキン|韓国チキン,poulet frit coréen|poulet frit|chicken,koreanisches Hähnchen|Brathähnchen|Chicken,pollo frito coreano|pollo frito,frango frito coreano|frango frito,gà rán Hàn Quốc|gà rán|quán gà,ไก่ทอดเกาหลี|ไก่ทอด|ชิคเก้น,ayam goreng Korea|ayam goreng|chicken,ayam goreng Korea|ayam goreng
general,chineserestaurant,food,중화요리|중국집|중국음식|짜장면|짬뽕|탕수육|중식|목란|안동장|진진|팔선|신발원|홍보각|공화춘|영생덕|영화루|신성각|하오치|취영루|연경|중화루|신승반점|타이펑|금문도|초마|교동짬뽕|송탄영빈루|복성루|지린성|복성각|외백|홍명|대가방|서궁|일품향|개화|산동반점|홍복|희래등|현경|차이797|도원|상해|용무린|동보성|금룡|만다복|상원|아서원|중화반점|보영반점|동해반점|대명관|덕합반점|천안문|북경반점|동흥관|영해반점|수정궁|오향장육|하하|진진자차|유유안|라구정|왕함흥|동천홍|이비가|교동|짬뽕지존|홍자성|자금성|취홍|금성거|홍콩반점|백리향|도림|예궁|유방녕|여경래|상해루|동해원|용궁|청요리|매화|동승루|영풍|태화관|만리장성|대성각|경발원|동락반점|혜빈장|복영루|영빈관|신라|아서원|대문점|취치|동보성|구로디지털|홍성|태화|보성각|천지궁|중앙반점|대덕반점|신흥각,中餐厅|中餐|中国菜|中华料理|海鲜汤面|炸酱面|木蘭|安東莊|津津|八仙|新發園|紅寶각|共和春|永生德|永華樓|新成閣|好吃|聚英樓|燕京|中華樓|新勝飯店|太平|金門島|炒馬|校洞짬뽕|松炭永賓樓|福成樓|吉린城|福成閣|外白|紅明|代家坊|西宮|一品香|開華|山東飯店|鴻福|喜來登|玄鏡|CHAI797|桃源|上海|龍舞린|東寶城|金龍|萬多福|祥苑|雅서園|中華飯店|寶永飯店|東海飯店|大明館|德合飯店|天安門|北京飯店|東興館|迎海飯店|水晶宮|五香醬肉|哈哈|津津자차|豫園|王咸興|東天紅|이비가|校洞|짬뽕至尊|紅紫城|紫禁城|聚紅|金城居|香港飯店|百里香|桃林|禮宮|劉方寧|呂敬來|上海樓|東海園|龍宮|淸料理|梅花|東昇樓|永豊|泰華館|萬里長城|大成閣|慶發園|東樂飯店|惠賓莊|福永樓|迎賓館|新羅|雅서園|大門店|聚聚|東寶城|九老디지털|鴻城|泰華|寶成閣|天地宮|中央飯店|大德飯店|新興閣,chinese restaurant|chinese food|chinese cuisine|Mokran|Andongjang|Jinjin|Palsun|Shinbalwon|Hongbogak|Gonghwachun|Yeongsaengdeok|Yeonghwaru|Sinseonggak|Haochi|Chuiyeongru|Yeon-gyeong|Junghwaru|Shinseung-banjeom|Taipung|Geummondo|Choma|Gyodong-Jjamppong|Songtan-Yeongbinru|Bokseungru|Jirinseong|Bokseunggak|Oebaek|Hongmyeong|Daegabang|Seogung|Ilpumhyang|Gaehwa|Sandong-banjeom|Hongbok|Heeraedeung|Hyeongyeong|Chai797|Dowon|Sanghae|Yongmurin|Dongboseong|Geumryong|Mandabok|Sangwon|Aseowon|Junghwa-banjeom|Boyeong-banjeom|Donghae-banjeom|Daemyunggwan|Deokhap-banjeom|Cheonanmun|Bukgyeong-banjeom|Dongheung-gwan|Yeonghae-banjeom|Sujeonggung|Ohyangjangyuk|Haha|Jinjin-jacha|Yuyuan|Ragujeong|Wanghamheung|Dongcheonhong|Eebiga|Gyodong|Jjamppong-Jijon|Hongjaseong|Jageumseong|Chwihong|Geumseonggeo|Hongkong-banjeom|Baengnihyang|Dorim|Yegung|YuBangnyeong|LuChinglai|Sanghaeru|Donghaewon|Yonggung|Cheong-yori|Maehwa|Dongseungru|Yeongpung|Taehwagwan|Manriseong|Daeseonggak|Gyeongbarwon|Dongrak-banjeom|Hyebinjang|Bokyeongru|Yeongbin-gwan|Shilla|Aseowon|Daemunjip|Chwichi|Dongboseong|Guro-Digital|Hongseong|Taehwa|Boseonggak|Cheonjigung|Jungang-banjeom|Daedeok-banjeom|Shinheunggak,中華料理|中国料理|木蘭|安東荘|津津|八仙|新発園|紅宝閣|共和春|永生徳|永華楼|新成閣|好吃|聚英楼|燕京|中華楼|新勝飯店|太平|金門島|炒馬|校洞チャンポン|松炭永賓楼|福成楼|吉林城|福成閣|外白|紅明|代家坊|西宮|一品香|開華|山東飯店|鴻福|喜来登|玄鏡|チャイ797|桃源|上海|龍舞麟|東宝城|金龍|万多福|祥苑|雅叙園|中華飯店|宝永飯店|東海飯店|大明館|徳合飯店|天安門|北京飯店|東興館|迎海飯店|水晶宮|五香醤肉|哈哈|津津自茶|予園|王咸興|東天紅|イビガ|校洞|チャンポン至尊|紅紫城|紫禁城|聚紅|金城居|香港飯店|百里香|桃林|礼宮|劉方寧|呂敬来|上海楼|東海園|龍宮|清料理|梅花|東昇楼|永豊|泰華館|万里長城|大成閣|慶発園|東楽飯店|恵賓荘|福永楼|迎賓館|新羅|雅叙園|大門店|聚聚|東宝城|九老デジタル|鴻城|泰華|宝成閣|天地宮|中央飯店|大徳飯店|新興閣,restaurant chinois|cuisine chinoise,chinesisches Restaurant|chinesische Küche,restaurante chino|comida china,restaurante chinês|comida chinesa,nhà hàng Trung Quốc|đồ ăn Trung|quán Trung,ร้านอาหารจีน|อาหารจีน,restoran Cina|masakan Cina|Chinese,restoran Cina|masakan Cina
general,cafe,food,카페|커피|커피숍|커피전문점|스타벅스|이디야|투썸|카페인,咖啡厅|咖啡|咖啡馆|咖啡店,cafe|coffee|coffee shop|starbucks,カフェ|コーヒー|喫茶店,café|salon de thé|Starbucks,Café|Kaffeehaus|Kaffee|Starbucks,café|cafetería|Starbucks,café|cafeteria|Starbucks,quán cà phê|cà phê|Starbucks,คาเฟ่|ร้านกาแฟ|กาแฟ|สตาร์บัคส์,kafe|kedai kopi|kopi|Starbucks,kafe|kedai kopi|kopi|Starbucks
general,bakery,food,베이커리|빵집|제과점|파리바게뜨|뚜레쥬르|케이크|빵,面包店|面包|蛋糕店|烘焙,bakery|bread|pastry|cake shop,ベーカリー|パン屋|ケーキ,boulangerie|pâtisserie|pain|gâteau,Bäckerei|Konditorei|Brot|Kuchen,panadería|pastelería|pan,padaria|confeitaria|pão,tiệm bánh|bánh mì|bánh ngọt,ร้านเบเกอรี่|ขนมปัง|เค้ก,toko roti|bakery|kue,kedai roti|bakeri|kek
general,bar,food,바|술집|호프|이자카야|칵테일|와인바|맥주집|포차,酒吧|啤酒屋|鸡尾酒|居酒屋,bar|pub|tavern|cocktail|beer,バー|居酒屋|パブ,bar|pub|cocktail|bière,Bar|Kneipe|Cocktail|Bier,bar|pub|cóctel|cerveza,bar|pub|coquetel|cerveja,quán bar|quán rượu|bia|cocktail,บาร์|ผับ|ค็อกเทล|เบียร์,bar|pub|cocktail|bir,bar|pub|koktel|bir
general,foodcourt,food,푸드코트|식당가|먹자골목|음식점거리,美食广场|美食街|餐饮区|小吃街,food court|food street|food hall,フードコート|食堂街,aire de restauration|food court,Food Court|Essensmeile,patio de comidas|food court,praça de alimentação|food court,khu ẩm thực|food court,ศูนย์อาหาร|ฟู้ดคอร์ท,food court|pusat jajanan,medan selera|food court
general,winestore,food,와인샵|와인가게|와인매장|와인전문점|주류매장|와인,葡萄酒店|红酒店|酒类商店|葡萄酒,wine store|wine shop|liquor store|wine,ワインショップ|酒屋|ワイン,cave à vin|magasin de vin|vin,Weinhandlung|Weinladen|Wein,tienda de vinos|vinoteca|vino,loja de vinhos|adega|vinho,cửa hàng rượu vang|rượu vang,ร้านไวน์|ไวน์,toko wine|wine,kedai wain|wain
general,departmentstore,shopping,백화점|롯데백화점|현대백화점|신세계|갤러리아,百货商店|百货|百货公司,department store|department,デパート|百貨店,grand magasin|magasin,Kaufhaus|Warenhaus,grandes almacenes|tienda departamental,loja de departamentos,trung tâm thương mại|cửa hàng bách hóa,ห้างสรรพสินค้า|ห้าง,department store|mal|toserba,pusat membeli-belah|gedung membeli-belah
general,traditionalmarket,shopping,전통시장|재래시장|시장|남대문시장|광장시장,传统市场|传统市集|集市|菜市场,traditional market|market|marketplace,伝統市場|市場,marché traditionnel|marché,traditioneller Markt|Markt,mercado tradicional|mercado,mercado tradicional|mercado|feira,chợ truyền thống|chợ,ตลาดดั้งเดิม|ตลาด,pasar tradisional|pasar,pasar tradisional|pasar
general,supermarket,shopping,슈퍼마켓|대형마트|마트|이마트|홈플러스|코스트코|하나로마트|이케아,超市|大型超市|超级市场,supermarket|mart|grocery,スーパー|スーパーマーケット,supermarché|hypermarché,Supermarkt|Einkaufsmarkt,supermercado|hipermercado,supermercado|hipermercado,siêu thị,ซูเปอร์มาร์เก็ต|ห้างสรรพสินค้า,supermarket|swalayan,pasar raya|supermarket
general,conveniencestore,shopping,편의점|CU|GS25|세븐일레븐|이마트24|미니스톱,便利店|小卖部,convenience store|convenient store,コンビニ|コンビニエンスストア,supérette|épicerie|dépanneur,Kiosk|Späti|Convenience Store,tienda de conveniencia|minimarket,loja de conveniência|minimercado,cửa hàng tiện lợi|tiệm tạp hóa,ร้านสะดวกซื้อ|เซเว่น,minimarket|toko kelontong|Indomaret|Alfamart,kedai serbaneka|minimarket
general,clothingstore,shopping,의류가게|옷가게|패션|의류|옷|동대문|백화점,服装店|服饰|时装店|衣服,clothing store|fashion|clothes|apparel,洋服店|アパレル|ファッション,magasin de vêtements|boutique|mode,Bekleidungsgeschäft|Kleidung|Mode,tienda de ropa|ropa|moda,loja de roupas|roupa|moda,cửa hàng quần áo|shop thời trang,ร้านเสื้อผ้า|เสื้อผ้า|แฟชั่น,toko baju|pakaian|fashion,kedai pakaian|fesyen
general,shoestore,shopping,신발가게|구두|운동화|슈즈|신발|동대문|백화점,鞋店|鞋子|皮鞋,shoe store|shoes|footwear,靴屋|シューズ,magasin de chaussures|chaussures,Schuhgeschäft|Schuhe,zapatería|zapatos,sapataria|sapatos,cửa hàng giày|giày dép,ร้านรองเท้า|รองเท้า,toko sepatu|sepatu,kedai kasut|kasut
general,cosmeticsstore,shopping,화장품매점|화장품|올리브영|뷰티|스킨케어|코스메틱|백화점,化妆品店|化妆品|美妆|护肤,cosmetics|beauty store|skincare|makeup,化粧品店|コスメ|ビューティー,magasin de cosmétiques|cosmétiques|maquillage,Kosmetikgeschäft|Kosmetik|Drogerie,tienda de cosméticos|cosméticos|maquillaje,loja de cosméticos|cosméticos|maquiagem,cửa hàng mỹ phẩm|mỹ phẩm,ร้านเครื่องสำอาง|เครื่องสำอาง,toko kosmetik|kosmetik,kedai kosmetik|kosmetik
general,electronicsstore,shopping,전자제품매장|전자제품|하이마트|전자랜드|삼성전자|LG|가전|삼성스토어,电子产品店|电器|电子城|数码,electronics|tech store|gadget,電子製品|家電量販店,magasin d'électronique|électronique,Elektronikgeschäft|Elektronik,tienda de electrónica|electrónica,loja de eletrônicos|eletrônicos,cửa hàng điện tử|điện tử,ร้านเครื่องใช้ไฟฟ้า|อิเล็กทรอนิกส์,toko elektronik|elektronik,kedai elektronik|elektronik
general,bookstore,shopping,서점|교보문고|영풍문고|알라딘|YES24|책,书店|图书|书籍,bookstore|book shop|books,書店|本屋,librairie|livres,Buchhandlung|Bücher,librería|libros,livraria|livros,nhà sách|sách,ร้านหนังสือ|หนังสือ,toko buku|buku,kedai buku|buku
general,furniturestore,shopping,가구점|가구|이케아|한샘|리바트|인테리어|이케아|가구단지,家具店|家具|家居,furniture|home furnishing|ikea,家具店|インテリア,magasin de meubles|meubles|IKEA,Möbelgeschäft|Möbel|IKEA,tienda de muebles|muebles|IKEA,loja de móveis|móveis|IKEA,cửa hàng nội thất|nội thất,ร้านเฟอร์นิเจอร์|เฟอร์นิเจอร์,toko furnitur|furnitur|IKEA,kedai perabot|perabot|IKEA
general,sportsstore,shopping,스포츠용품|스포츠|나이키|아디다스|운동용품|등산용품|백화점,体育用品店|运动用品|体育|运动,sports store|sports goods|athletic|sportswear,スポーツ用品|スポーツショップ,magasin de sport|sport|Nike|Adidas,Sportgeschäft|Sport|Nike|Adidas,tienda de deportes|deportes,loja de esportes|esportes,cửa hàng thể thao|đồ thể thao,ร้านกีฬา|อุปกรณ์กีฬา,toko olahraga|peralatan olahraga,kedai sukan|peralatan sukan
general,florist,shopping,꽃가게|꽃집|플라워샵|꽃|화훼,花店|鲜花|花卉,florist|flower shop|flowers,花屋|フラワーショップ,fleuriste|fleurs,Blumenladen|Blumen,floristería|flores,floricultura|flores,tiệm hoa|hoa,ร้านดอกไม้|ดอกไม้,toko bunga|bunga,kedai bunga|bunga
general,jewelry,shopping,쥬얼리|보석|귀금속|액세서리|주얼리|반지|목걸이,珠宝店|珠宝|首饰|金银,jewelry|jewellery|gems|accessories,ジュエリー|宝石店|アクセサリー,bijouterie|bijoux,Juwelier|Schmuck,joyería|joyas,joalheria|joias,tiệm trang sức|trang sức,ร้านเครื่องประดับ|เครื่องประดับ,toko perhiasan|perhiasan,kedai barang kemas|barang kemas
general,eyeglassstore,shopping,안경점|안경|렌즈|선글라스|콘택트렌즈,眼镜店|眼镜|隐形眼镜,eyeglass|glasses|optician|optical,メガネ|眼鏡店,opticien|lunettes,Optiker|Brille,óptica|gafas|lentes,ótica|óculos,tiệm kính|kính mắt,ร้านแว่นตา|แว่นตา,optik|kacamata,kedai cermin mata|cermin mata
general,petshop,shopping,반려동물가게|펫샵|애견용품|반려동물|강아지|고양이|펫,宠物店|宠物|宠物用品,pet shop|pet store|pet,ペットショップ|ペット,animalerie|animaux,Tierhandlung|Haustier,tienda de mascotas|mascotas,pet shop|animais de estimação,cửa hàng thú cưng|thú cưng,ร้านสัตว์เลี้ยง|สัตว์เลี้ยง,toko hewan|pet shop,kedai haiwan|haiwan peliharaan
general,dongdaemunmarket,shopping,동대문시장|동대문|동대문쇼핑,东大门市场|东大门,dongdaemun market|dongdaemun,東大門市場|東大門,marché de Dongdaemun|Dongdaemun,Dongdaemun-Markt|Dongdaemun,mercado de Dongdaemun|Dongdaemun,mercado de Dongdaemun|Dongdaemun,chợ Dongdaemun|Dongdaemun,ตลาดทงแดมุน|ทงแดมุน,pasar Dongdaemun|Dongdaemun,pasar Dongdaemun|Dongdaemun
general,seafoodmarket,shopping,수산시장|횟집|생선|해산물|활어|조개|어시장|노량진,水产市场|海鲜市场|鱼市|海鲜,seafood market|fish market|seafood,水産市場|魚市場|海鮮,marché aux poissons|fruits de mer,Fischmarkt|Meeresfrüchte,mercado de mariscos|mariscos|pescado,mercado de peixes|frutos do mar,chợ hải sản|hải sản,ตลาดอาหารทะเล|อาหารทะเล,pasar ikan|seafood,pasar ikan|makanan laut
general,hotel,accommodation,호텔|숙소|모텔|게스트하우스|에어비앤비|민박|리조트|여관|펜션,酒店|宾馆|旅馆|住宿|民宿|度假村,hotel|motel|guesthouse|hostel|resort|accommodation|airbnb,ホテル|旅館|宿泊|民宿,hôtel|auberge|hébergement|Airbnb,Hotel|Pension|Unterkunft|Airbnb,hotel|alojamiento|hostal|Airbnb,hotel|hospedagem|pousada|Airbnb,khách sạn|nhà nghỉ|homestay|Airbnb,โรงแรม|ที่พัก|โฮสเทล|Airbnb,hotel|penginapan|losmen|Airbnb,hotel|penginapan|Airbnb
general,spahotel,accommodation,온천호텔|온천리조트|스파호텔|온천,温泉酒店|温泉度假村,spa hotel|hot spring hotel|spa resort,温泉ホテル|温泉旅館,hôtel spa|hôtel thermal,Spa-Hotel|Thermalhotel,hotel spa|hotel termal|aguas termales,hotel spa|hotel termal|águas termais,khách sạn suối nước nóng|spa hotel,โรงแรมสปา|โรงแรมน้ำพุร้อน,hotel spa|pemandian air panas,hotel spa|mata air panas
general,campingsite,accommodation,캠핑장|캠핑|오토캠핑|글램핑|야영,露营地|露营|营地|帐篷,camping|campsite|glamping,キャンプ場|キャンプ|グランピング,camping|terrain de camping|glamping,Campingplatz|Camping|Glamping,camping|campamento|glamping,camping|acampamento|glamping,khu cắm trại|cắm trại|glamping,แคมป์ปิ้ง|ที่ตั้งแคมป์|แกลมปิ้ง,kemping|perkemahan|glamping,perkhemahan|kemping|glamping
general,hospital,medical,대학교병원|병원|종합병원|대학병원|의원|클리닉|내과|외과|소아과|산부인과|정형외과|안과|이비인후과|피부과|비뇨기과|삼성병원|삼성서울병원|아산병원|세브란스,医院|综合医院|大学医院|诊所|门诊|内科|外科,university hospital|hospital|clinic|medical center|doctor,大学病院|病院|医院|クリニック|診療所,hôpital|clinique|médecin|urgences,Krankenhaus|Klinik|Arzt,hospital|clínica|médico,hospital|clínica|médico,bệnh viện|phòng khám|bác sĩ,โรงพยาบาล|คลินิก|หมอ,rumah sakit|klinik|dokter,hospital|klinik|doktor
general,dental,medical,치과|치과의원|치과병원|임플란트|교정|스케일링,牙科|牙科医院|口腔|牙医,dental|dentist|dental clinic,歯科|歯医者|デンタル,dentiste|cabinet dentaire,Zahnarzt|Zahnklinik,dentista|clínica dental,dentista|clínica odontológica,nha khoa|nha sĩ,ทันตแพทย์|คลินิกทันตกรรม,dokter gigi|klinik gigi,doktor gigi|klinik pergigian
general,pharmacy,medical,약국|약|조제|처방전,药店|药房|药局|药,pharmacy|drugstore|chemist,薬局|ドラッグストア,pharmacie|médicament,Apotheke|Medikament,farmacia|medicamento,farmácia|remédio,nhà thuốc|hiệu thuốc|thuốc,ร้านขายยา|ยา,apotek|obat,farmasi|ubat
